username	tweet	hashtags	mentions
stilettojungle	Style Stealer: Taylor Swift Is All Wrapped Up In The Blanket Cape Trend  http://dlvr.it/7YfTBd  (via @thefrisky)	[]	['thefrisky']
amas	@TaylorASFanSite Guess where Taylor Swift ranked when we asked fb/twitter who should win #AMAs best pop rock female http://bit.ly/1hTCP3c 	['#amas']	['taylorasfansite']
TheWilderThings	"RT @GoJoandGolic: ""I saw a TikTok about how Taylor Swift was in her thin-neck men era, and now she's in her thick-neck men era &amp; how as a w…"	['']	['GoJoandGolic']
Boiarski	RT @WileELiberal: Taylor Swift &amp; Bud Lite ads ... this game is a MAGA snowflake's worst nightmare.  😄	['']	['WileELiberal']
dobbernation	"RT @TorontoStar: For months, fans feared that Taylor Swift was snubbing Canada. 

Now, Toronto is set to host the grand finale of one of th…"	[]	['TorontoStar']
lucienswife	"RT @PopCrave: Prime Minister Trudeau asks Taylor Swift if she can add Canadian dates to her #ErasTour:

“I know places in Canada would love…"	['ErasTour']	['PopCrave']
CFDevelop	"@SEGVeenstra @psy_aviah @netgfx Unless you are Taylor Swift, you can't make enough money from streaming to even survive

You have to resort to other streams of income. That could mean teaching, advertising, and most often it means touring

4/x"	[]	['SEGVeenstra', 'psy_aviah', 'netgfx']
pastelcappucino	RT @hushmirrorball: it's kinda scary that we don't know if there's days, weeks, months, hours, minutes, or seconds until taylor swift annou…	[]	['hushmirrorball']
__FemmeFatalee_	RT @spoiliarium: no zendaya, no alexa demie, no hunter schafer, no rihanna, no beyoncé, no ariana grande, no taylor swift, no timothée chal…	[]	['spoiliarium']
kafkaesque_blog	This comment about Taylor Swift's furry bosom in Cats made me snort out loud: pic.twitter.com/2LYLtWZ3Se	[]	['mimbale']
leftitcita	RT @whineandchill: If Nicola Coughlan who has 4.5M followers can do this you can imagine what Taylor Swift with 283M followers can do. But…	['']	['whineandchill']
em_aych	RT @tweetsbybob_: Taylor Swift, Kim K and Kylie seeing who can get to Starbucks first  https://t.co/MmOqe2pMIu	[]	['tweetsbybob_']
JonDBarker	The timeline is ablaze with Taylor Swift news and I’m alright with that. @EnglishSimmer remember to keep breathing yeah?	[]	['EnglishSimmer']
springermiller	 http://ow.ly/i/7nnHR  What do you think? Tripadvisor comment or Taylor Swift lyric? #HUG2014 with @hospupgrade	['#hug2014']	['hospupgrade']
J14Magazine	"J-14 Magazine
10hWondering which one of your favorite celebs are low-key giants? We broke it all down!
j-14.com
30 Celebrities Who You Had No Idea Were Tall AF
Uncover your favorite celebrities' heights. We rounded up 30 stars who you had no idea were super tall, including Taylor Swift, Shawn Mendes and more."	[]	['J14Magazine']
socialmedia2day	"Social Media Today
22hBill-splitting could be a handy addition - and could get more people moving money in Meta's apps
socialmediatoday.com
Messenger Adds New Group AR Effects, Tests Automated Bill-Splitting Process
Some new additions are coming to your Messenger threads, including Taylor Swift Soundmojis and new group AR effects."	[]	['socialmedia2day']
BernadetteNTF	RT @connie_dulin: I heard a rumor that Taylor Swift just bought trump tower &amp; will convert it into a homeless shelter.	['']	['connie_dulin']
nikkinwonderlnd	RT @BrkMeLikAPromis: Taylor Swift didn't cause traffic. People who treat her like a zoo caused traffic.	[]	['BrkMeLikAPromis']
Hasnaa_Aladdin	RT @PopCrave: Owner of transportation company that works on Taylor Swift’s #ErasTour says the $100k bonus she gave truckers is 10x the norm…	['ErasTour']	['PopCrave']
communoah	"men and hommes / Betty Larceny
7hbeing 26 is infinitely better than being 22 idk what Taylor Swift was talking about"	[]	['communoah']
gvtwellsoon	"RT @TSTheErasTour: Taylor Swift tonight at @RJStadium TAYmpa! #TSTheErasTour #TampaTSThrErasTour

📸: Octavio Jones // @GettyVIP https://t.c…"	['TSTheErasTour', 'TampaTSThrErasTour']	['TSTheErasTour', 'RJStadium', 'GettyVIP']
NYCsporty	"RT @SoFiStadium: Retweet and follow us @SoFiStadium for a chance to win a custom @RamsNFL Taylor Swift jersey 💙

#TaylorSwift  | #SoFiStadi…"	['TaylorSwift']	['SoFiStadium', 'SoFiStadium', 'RamsNFL']
TheHodge	"Last night I visited Sheffield for another @punkrockfactory gig! (Since they are bloody doing Leeds on Halloween which is a busy night for me)

Simply Awesome, Covers of Disney songs, Musicals and classic's thrown in...

Need to get them to do a Taylor Swift album next. https://t.co/QhUqb5dSR9"	['']	['punkrockfactory']
Love_bug1016	RT @TSwiftFTC: Taylor Swift and Drake have released the same amount of studio albums this decade, but only one of them is accused of “mass-…	[]	['TSwiftFTC']
hrshiihearts_	"RT @theswiftvoting: ��| Taylor Swift received 11 nominations at the Gold Derby Music Awards 2023 including:

✔️ Artist of the Year, Album of…"	[]	['theswiftvoting']
Taylorsswift_22	RT @BuzzingPop: All ten of Taylor Swift’s studio albums have now sold 1 MILLION pure copies in the US (via @behzad_hudson). https://t.co/k4…	[]	['BuzzingPop', 'behzad_hudson']
antaldaniel	Best tweet thread ever: Taylor Swift as Dutch Public Transport.(hat tip: @lilyslynch ) https://twitter.com/RowdyHD/status/1117042623863296001 …	[]	['lilyslynch']
indify	.@lilpump has gained more Instagram Followers than Drake and Taylor Swift in the past three months 📈  https://goo.gl/Uyo5o6  pic.twitter.com/acQj19j3hf	[]	['lilpump']
billboard	"Here's a special inside look at the @GRAMMYMuseum's Taylor Swift exhibit, “I Can See You (Taylor’s Version)."" #BillboardNews https://t.co/WYnybcnvO8"	['BillboardNews']	['GRAMMYMuseum']
kvburton657	RT @cowboyinwoods13: the way the karma mv fits each taylor swift era perfectly 😭 https://t.co/kspwp27Paa	[]	['cowboyinwoods13']
bethbourdon	RT @NEHumaneSociety: BREAKING: Taylor Swift spotted with 76 homeless dogs following split from Matt Healy https://t.co/O9eg80kf8h	[]	['NEHumaneSociety']
NylonMag	"NYLON
13h.
@michellebranch
's 20th anniversary edition of #TheSpiritRoom is out now 
nylon.com
Michelle Branch On Influencing Taylor Swift & Re-Recording 'The Spirit Room'
Michelle Branch has a lot to look forward to: a special anniversary release of her pivotal debut album 'The Spirit Room,' and her next record."	['TheSpiritRoom']	['NylonMag', 'michellebranch']
mikesbloggity	"Mike Morrison
15hTaylor Swift releasing her version of Wildest Dreams out of nowhere, so that Scooter Braun would stop making money off of a TikTok trend, is the energy I need from all of you for the rest of 2021."	[]	['mikesbloggity']
bangtanindia	"Brendon Urie placed his name card next to BTS's seat (he is sitting next to Taylor Swift). But I'm sure we'd love to see BTS x Brendon interaction.

#BBMAsTopSocial BTS @BTS_twt pic.twitter.com/wlzUnSJnRi"	['#bbmastopsocial']	['bts_twt']
thetimes	★★★★☆ Taylor Swift's #evermorealbum reminds us of what she does best, writes @Willjhodgkinson thetimes.co.uk/article/taylor… pic.twitter.com/A9Ge7Sh7SL	['evermorealbum']	['Willjhodgkinson']
crimsonpostgrad	RT @stishersweets: since it’s trending, it’s nice to have a friend by taylor swift is about the societal erasure of queerness from history…	[]	['stishersweets']
poojasareen90	“Why I Broke Up With Taylor Swift” by @generallymade  https://medium.com/slackjaw/why-i-broke-up-with-taylor-swift-732fc3543fd1#.zfzvtyjge …	[]	['generallymade']
burntsanctuary	"""Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me""

- Taylor Swift 2k17 pic.twitter.com/eAb4DwWfGs"	[]	['tombizz']
thegrio	"Sorry not sorry, Taylor Swift. 

@LilNasX keeps reigning! 💪🏾👏🏾 https://thegrio.com/2019/06/25/lil-nas-x-taylor-swift-billboard/ …"	[]	['lilnasx']
ghostcatbce	RT @ErikLoomis: I'm trying to figure out how this would even work? What exactly are they going to do that would take down Taylor Swift? Mor…	['']	['ErikLoomis']
benshapiro	Hey, @ayasgirl, my Taylor Swift opinions have now borne fruit https://twitter.com/yashar/status/1049085042436141057 …	[]	['ayasgirl']
221b_EHolmes	"RT @tswifterastour: 🚨| Taylor Swift describing herself in her new song “You’re Losing Me”

“I wouldn’t marry me either. A pathological peop…"	[]	['tswifterastour']
sevenhillsviews	Listen to fashion designer @EdelineLee on tomorrow's #ChangeMakers. With a brand worn by stars from Taylor Swift to Anne Hathaway, she shares a career that's seen her learn from the industry's best, why she designs for 'Future Woman' & what fashion represents in challenging times pic.twitter.com/fxjo4vsvBJ	['ChangeMakers']	['EdelineLee']
LMckaskill	@FierceDinosaur On that Trump job ... why the F is he wearing MAGA stuff to Taylor Swift concerts when she clearly hates Trump. Ahh!!  I have so many words to describe him that my head effing hurts. Hope he gets set up by the new boss and thrown in a US jail.	['']	['FierceDinosaur']
30db	When they checked the vibe, @Digiday found #TeamNicki wins over Taylor Swift:  http://digiday.com/platforms/nicki-minaj-vs-taylor-swift-internet-teamnicki-data-shows/ …	['#teamnicki']	['digiday']
buzz60	Taylor Swift, Kim Kardashian & more wish @CaraDelevingne a happy birthday  http://bit.ly/1fa3Odt  (@Krystingoodwin) pic.twitter.com/8zQzrnlMfm	[]	['caradelevingne', 'krystingoodwin']
chegg	@Ashlie5SOS You’ve won 2 tickets to Taylor Swift’s #1989WorldTour in Philadelphia! DM us your email by 9pm PDT tonight :)	['#1989worldtour']	['ashlie5sos']
headcountorg	Taylor Swift, Faith Hill, Meek Mill, K. Flay and Many More Remind You to Register to Vote  https://www.billboard.com/articles/news/politics/8530857/voter-registration-day-celebrities-support … via @billboard	[]	['billboard']
bobbyfinger	Funny that you're about to disappear forever in the mountains of Utah and that your last ever review will be about a Taylor Swift documentary.	[]	['rilaws']
lgatcombe	@taylorswift13 you look GORGEOUS! Taylor Swift's New Wonderstruck Ad Is Here:  http://bit.ly/ou8TK6  via @AddThis	[]	['taylorswift13', 'addthis']
MojoInTheMorn	"RT @unlimited_ls: 🚨White House says they are ALARMED by the sexually explicit fake images of pop star Taylor Swift

""The circulation of fal…"	['']	['unlimited_ls']
mashable	"Mashable
10hTaylor Swift's missing scarf gets a cameo in ""I Bet You Think About Me"" directed by Blake Lively  http://bit.ly/3qBtbgQ"	[]	['mashable']
kvburton657	"RT @ThePopTingz: Taylor Swift has 9 simultaneous albums charting on the Billboard 200. 

She becomes the first living artist to achieve thi…"	[]	['ThePopTingz']
GMA	"Good Morning America
Nov 22Nearly two weeks after dropping #RedTaylorsVersion, 
@taylorswift13
 has released a re-recorded version of her hit holiday classic song, ""Christmas Tree Farm."" 
goodmorningamerica.com
Taylor Swift releases another re-recorded song just in time for the holidays
Taylor Swift releases another re-recorded song just in time for the holidays.
14
424
2.1K"	['RedTaylorsVersion']	['GMA', 'taylorswift13']
squawkfox	"RT @David_Moscrop: How bad is the ticket waitlist for the Taylor Swift show in Toronto?

You’ve got a better chance of being able to buy a…"	[]	['David_Moscrop']
Reuters	"Reuters
17hTaylor Swift, Obama lead tributes in star-studded Rock Hall of Fame ceremony http://reut.rs/3bH3UcB"	[]	['Reuters']
AaronC_48	RT @cmtswift: i’m starting to think some of you think the album taylor swift is actually titled debut	[]	['cmtswift']
IndyVoices	"What Taylor Swift’s ‘secret engagement’ to Joe Alwyn can teach us about love – and break-ups
| @izzie_price #JoeAlwyn #TaylorSwift 

https://t.co/gE98qKIepB"	['JoeAlwyn', 'TaylorSwift']	['izzie_price']
crimsonpostgrad	RT @meanlore: remember when “ivy” by taylor swift played in the background while sue gilbert ate emily dickinson’s pussy	[]	['meanlore']
JoBullen1	@MissNadin4 I do warn them that it's 90% Taylor Swift because it's whatevers on my phone that inspired it... so Swift, Elton John and Disney ��	[]	['MissNadin4']
kthbluegrey	"RT @THVsVin: Taylor Swift, a billionaire went through Crisis of her full master's getting sold to someone else without her approval!!
Do yo…"	[]	['THVsVin']
chicagosymphony	"Cellist Gabriel Cabezas (@starbuckcello) is equally at home working with classical orchestras and pop stars Taylor Swift and Paul Simon. He brings that “musical chameleon-ness” to a concerto composed for him by @AlyssaWeinberg on a MusicNOW concert May 23.
https://t.co/mOAfh1gOvS"	[]	['starbuckcello', 'AlyssaWeinberg']
mackmckelvey	@colin_gibbs maybe a Taylor Swift show, then do some shots of Jaeger? I would get a 2-day hangover at 42, not 28!	[]	['colin_gibbs']
penskemedia	RT @HollywoodLife: Are Selena Gomez & Taylor Swift making a song together??  http://hollywoodlife.com/2015/06/18/selena-gomez-taylor-swift-music-collaboration-boys-new-song/ … pic.twitter.com/IgvFeSkX5A	[]	['hollywoodlife']
sonardesigntx	5 Marketing Lessons from Taylor Swift herself   http://bit.ly/1gbNfyX  #marketing #business #swifties via @KatieLFetting	['#marketing', '#business', '#swifties']	['katielfetting']
perdricof	RT @js_thrill: Taylor Swifts next boyfriend should be a guy version of Taylor Swift from a parallel universe ala Loki/MCU stuff, because th…	[]	['js_thrill']
JeremyAdamRoss	RT @MaineGolden: 2 big events are happening this weekend in New England: Taylor Swift in MA &amp; the New England Golden Jubilee in VT. So here…	[]	['MaineGolden']
thedailybeast	"The Daily Beast
Feb 4Sparks are flying over at New York University this spring, where the school has introduced a brand-new course on all things Taylor Swift
thedailybeast.com
New York University’s Newest Course: Taylor Swift 101
The songstress has been invited to speak to the class, which will be taught by a “Rolling Stone” magazine writer."	[]	['thedailybeast']
GovMurphy	"Over Memorial Day Weekend, @NJTRANSIT successfully transported 80,000 Taylor Swift fans via trains and buses to @MetLifeStadium.

Thanks to all the workers who helped move crowds safely and quickly to and from the stadium.

Up next: @FWC26NYNJ

https://t.co/CmyycHZ6SU"	[]	['NJTRANSIT', 'MetLifeStadium', 'FWC26NYNJ']
WeinbergLindsay	RT @angelique814: I love how Lizzo is LOVED! It was something to watch Beyoncé, Adele, Taylor Swift and Harry Styles stand at attention &amp; c…	[]	['angelique814']
MTVNEWS	"Thanks to #TikTok, @iamlorengray went from listening to Taylor Swift on her smartphone, to appearing in “The Man” music video. 

Now, she’s got her eyes on pop music 
mtv.com/news/3169921/l…"	['TikTok']	['iamlorengray']
xLitaFan4Everx	"RT @alefvernon: The broken Castle of reputation 🏰🖤

The fourth castle from my art serie inspired by the Taylor Swift eras. Located in the S…"	[]	['alefvernon']
IAMvDroid13	RT @ThePopTingz: All songs on the standard version of Taylor Swift’s #Midnights have spent 1 month on the Billboard Hot 100. https://t.co/V…	['Midnights']	['ThePopTingz']
GeorgieBroad	my dad has mobilised his entire groupchat of 40+ men in their late 50s who are liverpool season ticket holders to pre-register for taylor swift tickets for me and @hevtins truly you'll never walk alone	[]	['hevtins']
hinosreis	RT @Penguingonemad: I appreciate Taylor Swift fans and their passion, deeply. But some of y'all better put some fucking respect behind Para…	[]	['Penguingonemad']
Asmiirin	RT @TSwiftNZ: �� | Taylor Swift and @dylanobrien dancing during @BLACKPINK’s performance #VMAs https://t.co/c7lKCPMrZY	['VMAs']	['TSwiftNZ', 'dylanobrien', 'BLACKPINK']
downtown7thave	@ADogmaticCaveat @LVJoseantonio @popkultureguru @still713 Whether you thinks she’s creative enough or not doesn’t matter because she didn’t need YOU as a fan to become a billionaire. I can care less. Happy Taylor Swift is doing well…	['']	['ADogmaticCaveat', 'LVJoseantonio', 'popkultureguru', 'still713']
andykhouri	@rob_sheridan this Taylor swift Ticketmaster fiasco made me think of that NIN tour with the unique ticket solution, but I forget the details now. I remember it was designed to cut down on scalpers and you had to wait in line at the actual venue to buy tickets?	[]	['rob_sheridan']
scottdavisshift	What do polar bears, taylor swift and fois gras have in common? You might be surprised –my latest @ForbesCMO post:  http://ow.ly/8woFk 	[]	['forbescmo']
natlawreview	"Can't ""Shake it Off"" Yet: Court Denies Taylor Swift's Motion to Dismiss Copyright Infringement Lawsuit #IPLaw #TaylorSwift #9thCircuit  https://www.natlawreview.com/article/can-t-shake-it-yet-court-denies-taylor-swift-s-motion-to-dismiss-copyright …
@KLGates"	['#iplaw', '#taylorswift', '#9thcircuit']	['klgates']
